UNIQUE_KEY,PROBLEM_DETAIL,PROBLEM_CATEGORY,CREATED_DATE,CLOSED_DATE,STATUS,DAYS_TO_CLOSE,BOROUGH,COMMUNITY_BOARD,INCIDENT_ADDRESS,STREET_NAME,INCIDENT_ZIP,ADDRESS_TYPE,LATITUDE,LONGITUDE,RESOLUTION_DESCRIPTION,OPEN_DATA_CHANNEL_TYPE,RESOLUTION_UPDATED_AT
45279934,Street Light Out,Street Light Condition,2019-12-31 08:09:00,2019-12-31 08:09:00.000,Closed,0,STATEN ISLAND,02 STATEN ISLAND,,,10304,INTERSECTION,40.59123495075,-74.09972162667,Location Type: Intersection,UNKNOWN,2019-12-30 08:09:00.000
45282543,Street Light Out,Street Light Condition,2019-12-31 08:09:00,2019-12-31 08:09:00.000,Closed,0,STATEN ISLAND,02 STATEN ISLAND,,,10304,INTERSECTION,40.59922074925,-74.09172130492,Location Type: Intersection,UNKNOWN,2019-12-30 08:09:00.000
45282843,Fixture/Luminaire Out Of Position,Street Light Condition,2019-12-31 08:07:00,2019-12-31 08:07:00.000,Closed,0,STATEN ISLAND,02 STATEN ISLAND,,,10306,INTERSECTION,40.58138936255,-74.10877545104,Location Type: Intersection,UNKNOWN,2019-12-30 08:07:00.000
45281675,Street Light Out,Street Light Condition,2019-12-31 08:07:00,2019-12-31 08:07:00.000,Closed,0,STATEN ISLAND,02 STATEN ISLAND,,,10306,INTERSECTION,40.57788234676,-74.11076406244,Location Type: Intersection,UNKNOWN,2019-12-30 08:07:00.000
45277975,Street Light Out,Street Light Condition,2019-12-31 08:06:00,2019-12-31 08:06:00.000,Closed,0,STATEN ISLAND,01 STATEN ISLAND,,,10305,INTERSECTION,40.61365624031,-74.06699324903,Location Type: Intersection,UNKNOWN,2019-12-30 08:06:00.000
45279935,Street Light Out,Street Light Condition,2019-12-31 08:06:00,2019-12-31 08:06:00.000,Closed,0,STATEN ISLAND,02 STATEN ISLAND,,,10306,INTERSECTION,40.58874059993,-74.10207979432,Location Type: Intersection,UNKNOWN,2019-12-30 08:06:00.000
45284361,Street Light Out,Street Light Condition,2019-12-31 08:05:00,2019-12-31 08:05:00.000,Closed,0,STATEN ISLAND,03 STATEN ISLAND,,,10312,INTERSECTION,40.53474801212,-74.16526364883,Location Type: Intersection,UNKNOWN,2019-12-30 08:05:00.000
45282844,Fixture/Luminaire Out Of Position,Street Light Condition,2019-12-31 08:05:00,2019-12-31 08:05:00.000,Closed,0,STATEN ISLAND,03 STATEN ISLAND,,,10312,INTERSECTION,40.55718197442,-74.19946768489,Location Type: Intersection,UNKNOWN,2019-12-30 08:05:00.000
45280851,Street Light Out,Street Light Condition,2019-12-31 08:04:00,2019-12-31 08:04:00.000,Closed,0,STATEN ISLAND,03 STATEN ISLAND,,,10312,INTERSECTION,40.54045630924,-74.16779266133,Location Type: Intersection,UNKNOWN,2019-12-30 08:04:00.000
45282688,Multiple Street Lights Out,Street Light Condition,2019-12-31 08:03:00,2019-12-31 08:03:00.000,Closed,0,STATEN ISLAND,03 STATEN ISLAND,,,10308,INTERSECTION,40.54244216408,-74.14240688198,Location Type: Intersection,UNKNOWN,2019-12-30 08:03:00.000
45284548,Street Light Out,Street Light Condition,2019-12-31 08:02:00,2020-01-31 13:50:00.000,Closed,31,STATEN ISLAND,02 STATEN ISLAND,,,10306,INTERSECTION,40.57968972564,-74.10039198058,Location Type: Intersection,UNKNOWN,2020-01-31 13:50:00.000
45274576,Street Light Out,Street Light Condition,2019-12-30 17:19:00,2019-12-31 07:57:00.000,Closed,1,STATEN ISLAND,01 STATEN ISLAND,223 BRYSON AVENUE,BRYSON AVENUE,10314,INTERSECTION,40.61398010099,-74.14456930290,Location Type: Intersection,UNKNOWN,2019-12-31 07:57:00.000
45276908,Street Light Out,Street Light Condition,2019-12-30 11:30:00,2020-01-14 08:22:00.000,Closed,15,STATEN ISLAND,02 STATEN ISLAND,,,10306,INTERSECTION,40.56842948484,-74.12395081099,Location Type: Intersection,UNKNOWN,2019-12-29 11:29:00.000
45271015,Street Light Out,Street Light Condition,2019-12-30 11:30:00,2019-12-30 11:30:00.000,Closed,0,STATEN ISLAND,03 STATEN ISLAND,,,10306,INTERSECTION,40.57306330623,-74.12593559136,Location Type: Intersection,UNKNOWN,2019-12-29 11:30:00.000
45273305,Street Light Out,Street Light Condition,2019-12-30 11:29:00,2019-12-30 11:29:00.000,Closed,0,STATEN ISLAND,03 STATEN ISLAND,,,10308,INTERSECTION,40.55464100390,-74.14607107792,Location Type: Intersection,UNKNOWN,2019-12-29 11:29:00.000
45275535,Street Light Out,Street Light Condition,2019-12-30 11:28:00,2019-12-30 11:28:00.000,Closed,0,STATEN ISLAND,03 STATEN ISLAND,,,10304,INTERSECTION,40.52979936979,-74.22205601784,Location Type: Intersection,UNKNOWN,2019-12-29 11:28:00.000
45276910,Street Light Out,Street Light Condition,2019-12-30 11:28:00,2019-12-30 11:28:00.000,Closed,0,STATEN ISLAND,03 STATEN ISLAND,,,10312,INTERSECTION,40.55078942228,-74.20097072806,Location Type: Intersection,UNKNOWN,2019-12-29 11:28:00.000
45275524,Street Light Out,Street Light Condition,2019-12-30 11:27:00,2019-12-30 11:27:00.000,Closed,0,STATEN ISLAND,03 STATEN ISLAND,,,10312,INTERSECTION,40.53710498788,-74.19709446012,Location Type: Intersection,UNKNOWN,2019-12-29 11:27:00.000
45273306,Street Light Out,Street Light Condition,2019-12-30 11:25:00,2019-12-30 11:25:00.000,Closed,0,STATEN ISLAND,03 STATEN ISLAND,,,10312,INTERSECTION,40.54024807864,-74.18708734482,Location Type: Intersection,UNKNOWN,2019-12-29 11:25:00.000
45273307,Street Light Out,Street Light Condition,2019-12-30 11:25:00,2019-12-30 11:25:00.000,Closed,0,STATEN ISLAND,02 STATEN ISLAND,,,10314,INTERSECTION,40.58636310105,-74.15824834122,Location Type: Intersection,UNKNOWN,2019-12-29 11:25:00.000
45273318,Street Light Out,Street Light Condition,2019-12-30 11:24:00,2019-12-30 11:24:00.000,Closed,0,STATEN ISLAND,02 STATEN ISLAND,,,10314,INTERSECTION,40.59453472446,-74.16194408508,Location Type: Intersection,UNKNOWN,2019-12-29 11:24:00.000
45271579,Fixture/Luminaire Out Of Position,Street Light Condition,2019-12-30 11:24:00,2019-12-30 11:24:00.000,Closed,0,STATEN ISLAND,01 STATEN ISLAND,,,10303,INTERSECTION,40.62736690658,-74.16655934063,Location Type: Intersection,UNKNOWN,2019-12-29 11:24:00.000
45273319,Street Light Out,Street Light Condition,2019-12-30 11:23:00,2019-12-30 11:23:00.000,Closed,0,STATEN ISLAND,02 STATEN ISLAND,,,10314,INTERSECTION,40.60221762376,-74.17491975446,Location Type: Intersection,UNKNOWN,2019-12-29 11:23:00.000
45277406,Street Light Out,Street Light Condition,2019-12-30 11:23:00,2019-12-30 11:23:00.000,Closed,0,STATEN ISLAND,01 STATEN ISLAND,,,10301,INTERSECTION,40.62232272513,-74.10564335498,Location Type: Intersection,UNKNOWN,2019-12-29 11:23:00.000
