UNIQUE_KEY,PROBLEM_DETAIL,PROBLEM_CATEGORY,CREATED_DATE,CLOSED_DATE,STATUS,DAYS_TO_CLOSE,BOROUGH,COMMUNITY_BOARD,INCIDENT_ADDRESS,STREET_NAME,INCIDENT_ZIP,ADDRESS_TYPE,LATITUDE,LONGITUDE,RESOLUTION_DESCRIPTION,OPEN_DATA_CHANNEL_TYPE,RESOLUTION_UPDATED_AT
45283970,Street Light Out,Street Light Condition,2019-12-31 19:03:00,2020-01-02 11:58:00.000,Closed,2,BROOKLYN,04 BROOKLYN,1136 HANCOCK STREET,HANCOCK STREET,11221,ADDRESS,40.69020045584,-73.91315496095,Location Type: Residential Address,UNKNOWN,2020-01-02 11:58:00.000
45281029,Street Light Out,Street Light Condition,2019-12-31 18:22:00,2021-07-22 12:44:00.000,Closed,569,BROOKLYN,12 BROOKLYN,,,11204,INTERSECTION,40.62945105982,-73.97986124417,Location Type: Intersection,UNKNOWN,2021-07-22 12:44:00.000
45279202,Street Light Out,Street Light Condition,2019-12-31 17:42:00,2020-01-02 11:25:00.000,Closed,2,BROOKLYN,18 BROOKLYN,1700179 COLEMAN ST,COLEMAN ST,11234,INTERSECTION,40.61533784209,-73.93138421774,Location Type: Intersection,UNKNOWN,2020-01-02 11:25:00.000
45283123,Lamppost Damaged,Street Light Condition,2019-12-31 17:01:00,2020-01-02 12:24:00.000,Closed,2,BROOKLYN,02 BROOKLYN,94 JOHN STREET,JOHN STREET,11201,ADDRESS,40.70434856965,-73.98488076690,Location Type: Residential Address,UNKNOWN,2020-01-02 12:24:00.000
45284330,Traffic Signal Light,Street Light Condition,2019-12-31 16:35:00,2021-06-07 00:00:00.000,Closed,524,BROOKLYN,05 BROOKLYN,,,11207,INTERSECTION,40.65451827848,-73.88221425483,Location Type: Intersection,UNKNOWN,2019-12-31 16:35:00.000
45278872,Street Light Out,Street Light Condition,2019-12-31 16:30:00,2020-01-02 11:17:00.000,Closed,2,BROOKLYN,04 BROOKLYN,,,11237,INTERSECTION,40.69782418506,-73.90802403279,Location Type: Intersection,UNKNOWN,2020-01-02 11:17:00.000
45281986,Street Light Out,Street Light Condition,2019-12-31 16:30:00,2020-01-03 14:53:00.000,Closed,3,BROOKLYN,02 BROOKLYN,,,11201,INTERSECTION,40.69358314115,-73.98175310898,Location Type: Intersection,UNKNOWN,2020-01-03 14:53:00.000
45284344,Street Light Out,Street Light Condition,2019-12-31 16:14:00,2020-01-02 11:30:00.000,Closed,2,BROOKLYN,03 BROOKLYN,,,11216,INTERSECTION,40.67872302649,-73.95298686771,Location Type: Intersection,UNKNOWN,2020-01-02 11:30:00.000
45281968,Street Light Out,Street Light Condition,2019-12-31 16:13:00,2020-01-02 11:26:00.000,Closed,2,BROOKLYN,15 BROOKLYN,,,11235,INTERSECTION,40.59275234652,-73.95015246436,Location Type: Intersection,UNKNOWN,2020-01-02 11:26:00.000
45283869,Street Light Out,Street Light Condition,2019-12-31 15:27:00,2020-01-02 11:28:00.000,Closed,2,BROOKLYN,07 BROOKLYN,5 AVENUE,5 AVENUE,11220,BLOCKFACE,40.64146314757,-74.01410687335,Location Type: Other,UNKNOWN,2020-01-02 11:28:00.000
