UNIQUE_KEY,PROBLEM_DETAIL,PROBLEM_CATEGORY,CREATED_DATE,CLOSED_DATE,STATUS,DAYS_TO_CLOSE,BOROUGH,COMMUNITY_BOARD,INCIDENT_ADDRESS,STREET_NAME,INCIDENT_ZIP,ADDRESS_TYPE,LATITUDE,LONGITUDE,RESOLUTION_DESCRIPTION,OPEN_DATA_CHANNEL_TYPE,RESOLUTION_UPDATED_AT
45279194,Street Light Out,Street Light Condition,2019-12-31 18:33:00,2020-01-05 01:15:00.000,Closed,5,MANHATTAN,01 MANHATTAN,1710 PARK PL,PARK PL,10007,INTERSECTION,40.71429326173,-74.01152869236,Location Type: Intersection,UNKNOWN,2020-01-05 01:15:00.000
45279850,Street Light Cycling,Street Light Condition,2019-12-31 12:56:00,2019-12-23 21:20:00.000,Pending,-8,MANHATTAN,09 MANHATTAN,,,10027,INTERSECTION,40.81802225261,-73.96181942208,Location Type: Intersection,UNKNOWN,2019-12-23 21:20:00.000
45283674,Lamppost Base Door/Cover Open,Street Light Condition,2019-12-31 12:51:00,2019-12-24 01:35:00.000,Pending,-7,MANHATTAN,02 MANHATTAN,,,10013,INTERSECTION,40.71945659674,-73.99439754498,Location Type: Intersection,UNKNOWN,2019-12-24 01:35:00.000
45284610,Lamppost Base Door/Cover Open,Street Light Condition,2019-12-31 11:23:00,2019-12-21 01:35:00.000,Pending,-10,MANHATTAN,03 MANHATTAN,,,10002,INTERSECTION,40.72076560165,-73.99062751832,Location Type: Intersection,UNKNOWN,2019-12-21 01:35:00.000
45281683,Street Light Out,Street Light Condition,2019-12-31 11:23:00,2019-12-21 00:20:00.000,Pending,-10,MANHATTAN,03 MANHATTAN,,,10002,INTERSECTION,40.72124879892,-73.99223644080,Location Type: Intersection,UNKNOWN,2019-12-21 00:20:00.000
45284681,Lamppost Base Door/Cover Open,Street Light Condition,2019-12-31 11:22:00,2019-12-21 00:00:00.000,Pending,-10,MANHATTAN,02 MANHATTAN,,,10013,INTERSECTION,40.71877595241,-73.99569989814,Location Type: Intersection,UNKNOWN,2019-12-21 00:00:00.000
45278514,Street Light Out,Street Light Condition,2019-12-31 11:22:00,2019-12-20 23:35:00.000,Pending,-11,MANHATTAN,02 MANHATTAN,,,10013,INTERSECTION,40.71978609471,-73.99852452322,Location Type: Intersection,UNKNOWN,2019-12-20 23:35:00.000
45281662,Fixture/Luminaire Out Of Position,Street Light Condition,2019-12-31 11:21:00,2019-12-20 23:00:00.000,Pending,-11,MANHATTAN,02 MANHATTAN,,,10013,INTERSECTION,40.72037618118,-74.00326122938,Location Type: Intersection,UNKNOWN,2019-12-20 23:00:00.000
45278697,Street Light Out,Street Light Condition,2019-12-31 11:20:00,2019-12-20 22:35:00.000,Pending,-11,MANHATTAN,01 MANHATTAN,,,10013,INTERSECTION,40.71793064247,-74.00098843370,Location Type: Intersection,UNKNOWN,2019-12-20 22:35:00.000
45282170,Street Light Out,Street Light Condition,2019-12-31 10:29:00,2020-01-03 10:55:00.000,Closed,3,MANHATTAN,02 MANHATTAN,,,10014,INTERSECTION,40.73457440391,-74.01015743017,Location Type: Intersection,UNKNOWN,2020-01-03 10:55:00.000
45273128,Street Light Out,Street Light Condition,2019-12-30 10:10:00,2020-01-08 01:10:00.000,Closed,9,MANHATTAN,Unspecified MANHATTAN,1051 3 AVENUE,3 AVENUE,10065,INTERSECTION,40.76352117761,-73.96513205669,Location Type: Intersection,UNKNOWN,2020-01-08 01:10:00.000
45275848,Street Light Out,Street Light Condition,2019-12-30 01:21:00,2020-01-01 00:20:00.000,Closed,2,MANHATTAN,12 MANHATTAN,,,10040,INTERSECTION,40.86140370356,-73.92525925131,Location Type: Intersection,UNKNOWN,2020-01-01 00:20:00.000
45266826,Street Light Cycling,Street Light Condition,2019-12-29 16:39:00,2019-12-31 23:55:00.000,Closed,2,MANHATTAN,Unspecified MANHATTAN,4672 BROADWAY,BROADWAY,10040,INTERSECTION,40.86315482428,-73.92962818221,Location Type: Intersection,UNKNOWN,2019-12-31 23:55:00.000
45268158,Street Light Out,Street Light Condition,2019-12-29 02:28:00,2020-03-03 18:36:00.000,Closed,65,MANHATTAN,Unspecified MANHATTAN,610 AMSTERDAM AVENUE,AMSTERDAM AVENUE,10024,INTERSECTION,40.78995793793,-73.97337008922,Location Type: Intersection,UNKNOWN,2019-12-30 09:58:00.000
45260191,Street Light Out,Street Light Condition,2019-12-28 17:00:00,2019-12-30 21:20:00.000,Closed,2,MANHATTAN,Unspecified MANHATTAN,1961 7 AVENUE,7 AVENUE,10026,INTERSECTION,40.80465430533,-73.95146390983,Location Type: Intersection,UNKNOWN,2019-12-30 21:20:00.000
45262122,Street Light Out,Street Light Condition,2019-12-28 07:30:00,2019-12-31 01:30:00.000,Closed,3,MANHATTAN,01 MANHATTAN,120 WILLIAM STREET,WILLIAM STREET,10038,INTERSECTION,40.70871076228,-74.00728237813,Location Type: Intersection,UNKNOWN,2019-12-31 01:30:00.000
45254710,Street Light Out,Street Light Condition,2019-12-27 21:05:00,2020-01-03 22:05:00.000,Closed,7,MANHATTAN,02 MANHATTAN,236 MULBERRY STREET,MULBERRY STREET,10012,INTERSECTION,40.72195165843,-73.99626970034,Location Type: Intersection,UNKNOWN,2020-01-03 22:05:00.000
45257452,Lamppost Wire Exposed,Street Light Condition,2019-12-27 13:24:00,2019-12-30 22:35:00.000,Closed,3,MANHATTAN,Unspecified MANHATTAN,670 COLUMBUS AVENUE,COLUMBUS AVENUE,10025,INTERSECTION,40.79067599792,-73.96912283780,Location Type: Intersection,UNKNOWN,2019-12-30 22:35:00.000
45253505,Street Light Out,Street Light Condition,2019-12-27 06:04:00,2019-12-31 00:05:00.000,Closed,4,MANHATTAN,01 MANHATTAN,,,10013,INTERSECTION,40.71746903052,-74.01069232552,Location Type: Intersection,UNKNOWN,2019-12-31 00:05:00.000
