UNIQUE_KEY,PROBLEM_DETAIL,PROBLEM_CATEGORY,CREATED_DATE,CLOSED_DATE,STATUS,DAYS_TO_CLOSE,BOROUGH,COMMUNITY_BOARD,INCIDENT_ADDRESS,STREET_NAME,INCIDENT_ZIP,ADDRESS_TYPE,LATITUDE,LONGITUDE,RESOLUTION_DESCRIPTION,OPEN_DATA_CHANNEL_TYPE,RESOLUTION_UPDATED_AT
45277809,Street Light Out,Street Light Condition,2019-12-31 20:43:00,2020-01-03 13:55:00.000,Closed,3,QUEENS,03 QUEENS,,,11368,INTERSECTION,40.75782410264,-73.86099851810,Location Type: Intersection,UNKNOWN,2020-01-03 13:55:00.000
45279180,Street Light Out,Street Light Condition,2019-12-31 20:18:00,2020-01-02 10:20:00.000,Closed,2,QUEENS,07 QUEENS,172-05 CROCHERON AVENUE,CROCHERON AVENUE,11358,INTERSECTION,40.76300776376,-73.79419065074,Location Type: Intersection,UNKNOWN,2020-01-02 10:20:00.000
45284007,Street Light Out,Street Light Condition,2019-12-31 19:27:00,2020-02-05 11:30:00.000,Closed,36,QUEENS,04 QUEENS,86-10 55 AVENUE,55 AVENUE,11373,INTERSECTION,40.73390675134,-73.87835016738,Location Type: Intersection,UNKNOWN,2020-02-05 11:30:00.000
45281036,Street Light Out,Street Light Condition,2019-12-31 19:20:00,2020-01-02 10:11:00.000,Closed,2,QUEENS,08 QUEENS,,,11432,INTERSECTION,40.70844705435,-73.80022034996,Location Type: Intersection,UNKNOWN,2020-01-02 10:11:00.000
45280537,Street Light Out,Street Light Condition,2019-12-31 19:12:00,2020-01-02 10:11:00.000,Closed,2,QUEENS,12 QUEENS,162-05 89 AVENUE,89 AVENUE,11432,INTERSECTION,40.70668578243,-73.79914358147,Location Type: Intersection,UNKNOWN,2020-01-02 10:11:00.000
45284277,Street Light Out,Street Light Condition,2019-12-31 18:57:00,2020-01-03 14:11:00.000,Closed,3,QUEENS,09 QUEENS,,,11421,INTERSECTION,40.69755816592,-73.85277191983,Location Type: Intersection,UNKNOWN,2020-01-03 14:11:00.000
45281689,Street Light Out,Street Light Condition,2019-12-31 17:54:00,2020-01-02 10:23:00.000,Closed,2,QUEENS,12 QUEENS,THURSTON ST,THURSTON ST,11434,INTERSECTION,40.67604103854,-73.76207741106,Location Type: Intersection,UNKNOWN,2020-01-02 10:23:00.000
45283180,Street Light Out,Street Light Condition,2019-12-31 17:28:00,2020-04-09 15:06:00.000,Closed,100,QUEENS,06 QUEENS,118-16 UNION TURNPIKE,UNION TURNPIKE,11375,INTERSECTION,40.71247373499,-73.83492695322,Location Type: Intersection,UNKNOWN,2020-04-09 15:06:00.000
45279698,Street Light Out,Street Light Condition,2019-12-31 15:57:00,2020-01-02 10:17:00.000,Closed,2,QUEENS,04 QUEENS,96-31 43 AVENUE,43 AVENUE,11368,INTERSECTION,40.74609944882,-73.86641475514,Location Type: Intersection,UNKNOWN,2020-01-02 10:17:00.000
45284048,Lamppost Wire Exposed,Street Light Condition,2019-12-31 14:45:00,2020-01-02 10:23:00.000,Closed,2,QUEENS,01 QUEENS,30-09 STEINWAY STREET,STEINWAY STREET,11103,ADDRESS,40.76335542522,-73.91542043856,Location Type: Residential Address,UNKNOWN,2020-01-02 10:23:00.000
45281030,Street Light Out,Street Light Condition,2019-12-31 13:52:00,2020-01-02 10:16:00.000,Closed,2,QUEENS,Unspecified QUEENS,,,11691,INTERSECTION,40.61114438004,-73.74849271404,Location Type: Intersection,UNKNOWN,2020-01-02 10:16:00.000
